Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
態,태,모양,,"狀態 - 상태 (condition, state)
形態 - 형태 (form, shape)
態度 - 태도 (manner)
變態 - 변태 (metamorphosis)
實態 - 실태 (the actual conditions,reality)
嬌態 - 교태 (coquetry)
","匕, 厶, 心, 月",4II,3II
宅,택,집,,"住宅 - 주택 (housing)
宅 - 댁 (you and your family)
媤宅 - 시댁 (one's husband's family/house)
","一, ノ, 乙, 宀",5II,4II
澤,택,못,,"惠澤 - 혜택 (a favor, benefit)
光澤 - 광택 (lustre)
沼澤 - 소택 (marsh)
潤澤 - 윤택 (abundance)
","亠, 十, 土, 汁, 立, 買, 辛",3II,2
擇,택,가릴,,"選擇 - 선택 (a choice)
選擇- - 선택하다 (to choose)
選擇權 - 선택권 (option)
採擇 - 채택 (adoption)
擇- - 택하다 (choose, select)
","亠, 十, 土, 扎, 立, 買, 辛",4,3
土,토,흙,,"土曜日 - 토요일 (Saturday)
土地 - 토지 (soil)
國土 - 국토 (realm)
土臺 - 토대 (foundation)
領土 - 영토 (territory)
土壤 - 토양 (soil)
",土,8,6II
吐,토,토할,,"吐- - 토하다 (to vomit)
","口, 土",3II,2
討,토,칠,,"檢討 - 검토 (an examination, investigation, study)
討論 - 토론 (discussion)
討論 - 토론하다 (debate)
討論會 - 토론회 (debate, panel discussion, forum)
討議 - 토의 (discussion)
再檢討 - 재검토 (reappraisal)
","寸, 言",4,3
通,통,통할,,"普通 - 보통 (usually)
通信 - 통신 (correspondence)
交通 - 교통 (traffic)
通過 - 통과 (pass through)
通過- - 통과하다 (passage through)
通 - 통 (number of emails/written letters (counter))
","マ, 込, 用",6,5
統,통,거느릴,,"大統領 - 대통령 (president)
統合 - 통합 (synthesis)
傳統 - 전통 (tradition)
傳統的 - 전통적 (traditional)
統制 - 통제 (control, regulation)
統一 - 통일 (unification)
","亠, 儿, 厶, 糸",4II,3II
痛,통,아플,,"苦痛 - 고통 (pain)
痛症 - 통증 (an ache, pain)
頭痛 - 두통 (headache)
陣痛 - 진통 (labor pains, travail)
偏頭痛 - 편두통 (migraine)
痛風 - 통풍 (gout)
","マ, 用, 疔",4,3
退,퇴,물러날,,"隱退 - 은퇴 (seclusion)
辭退 - 사퇴 (refusal)
退勤 - 퇴근 (get off work, leaving the office, return home from work)
退勤- - 퇴근하다 (to go home from work)
後退 - 후퇴 (retreat)
後退 - 후퇴하다 (retreat)
","込, 艮",4II,3II
投,투,던질,,"投票 - 투표 (poll)
投票 - 투표하다 (poll)
投資 - 투자 (investment)
投手 - 투수 (pitcher)
投機 - 투기 (speculation)
投稿 - 투고 (contribution)
","扎, 殳",4,3
透,투,사무칠,,"透明- - 투명하다 (to be transparent, clear)
透寫 - 투사 (tracing)
透視 - 투시 (clairvoyance)
","ノ, 乃, 込, 禾",3II,2
鬪,투,싸울,,"戰鬪 - 전투 (fight)
鬪爭 - 투쟁 (strife)
拳鬪 - 권투 (boxing)
鬪士 - 투사 (militant)
格鬪 - 격투 (grappling)
決鬪 - 결투 (duel)
","八, 口, 寸, 豆, 鬥",4,3
特,특,특별할/뛰어날,,"特別 - 특별 (be special, extraordinary)
特別- - 특별하다 (to be special, extraordinary)
特- - 특히 (especially)
特徵 - 특징 (feature)
特定- - 특정하다 (specify)
特殊 - 특수 (characteristic,distinct,unique)
","土, 寸, 牛",6,5
破,파,깨뜨릴,,"破壞 - 파괴 (destruction)
破壞的 - 파괴적인 (destructive)
破産 - 파산 (bankruptcy)
破片 - 파편 (splinter)
破門 - 파문 (anathema)
破裂 - 파열 (rupture)
","又, 口, 皮, 石",4II,3II
波,파,물결,,"波濤 - 파도 (waves, billows)
波長 - 파장 (wavelength)
波紋 - 파문 (ripple)
音波 - 음파 (sound wave)
防波堤 - 방파제 (breakwater)
周波 - 주파 (cycle)
","又, 汁, 皮",4II,3II
派,파,갈래,,"左派 - 좌파 (left wing)
分派 - 분파 (branch)
派兵 - 파병 (sending/dispatch of troops)
派出所 - 파출소 (police precinct station)
宗派 - 종파 (sect)
黨派 - 당파 (faction)
","厂, 汁, 斤",4,3
播,파,뿌릴,,"播種 - 파종 (seeding)
","扎, 田, 米, 釆",3,2
罷,파,마칠,,,"匕, 厶, 月, 買",3,2
頗,파,자못,,,"又, 皮, 貝, 頁",3,2
把,파,잡을,,"把握- - 파악하다 (grasp, seize, understand)
","扎, 巴",3,2
判,판,판단할,,"批判 - 비판 (criticism)
批判的 - 비판적인 (critical)
判斷 - 판단 (a judgment, a conclusion)
判斷- - 판단하다 (to make a conclusion)
裁判 - 재판 (trial)
判決 - 판결 (sentence)
","｜, 二, 八, 刈, 十",4,3
板,판,널빤지,,"板 - 판 (board)
揭示板 - 게시판 (bulletin board)
看板 - 간판 (signboard)
甲板 - 갑판 (deck)
漆板 - 칠판 (blackboard)
字板 - 자판 (keyboard)
","厂, 又, 木",5,4
販,판,팔,,"販賣 - 판매 (sale)
自販機 - 자판기 (vending machine)
販路 - 판로 (outlet)
","厂, 又, 貝",3,2
版,판,판목,,"出版 - 출판 (publication)
出版 - 출판하다 (issue)
出版社 - 출판사 (publishing house, publisher, a publishing company)
限定版 - 한정판 (limited edition)
版圖 - 판도 (territory)
初版 - 초판 (first edition)
","厂, 又, 片",3II,2
八,팔,여덟,,"八 - 팔 (eight)
八十 - 팔십 (80)
八方美人 - 팔방미인 (jack of all trades)
八邊形 - 팔변형 (octagon)
八月 - 팔월 (August)
",八,8,6II
貝,패,조개,,"貝塚 - 패총 (shell heap)
","八, 目, 貝",3,2
敗,패,패할,,"失敗 - 실패 (failure)
腐敗 - 부패 (decay)
腐敗 - 부패하다 (decay)
敗血症 - 패혈증 (blood poisoning)
酸敗 - 산패 (acidification)
","攵, 貝",5,4
片,편,조각,,"斷片 - 단편 (shred)
破片 - 파편 (splinter)
阿片 - 아편 (opium)
一片丹心 - 일편단심 (devoted; fidelity)
",片,3II,2
便,편,편할,,"-便 - 한편 (one side, one way)
男便 - 남편 (husband)
不便 - 불편 (inconvenience)
不便- - 불편하다 (to be unpleasant)
便紙 - 편지 (letter)
便- - 편하다 (untroubled from cares)
","一, ｜, ノ, 化, 日, 田",7,6
篇,편,책,,"篇 - 편 (compilation, editing)
短篇 - 단편 (a piece, fragment)
","一, ｜, 冂, 戸, 冊, 竹",4,3
編,편,엮을,,"編輯 - 편집 (compilation)
編成 - 편성 (organization)
編入 - 편입 (transfer (to another school))
編曲 - 편곡 (arrangement)
共編者 - 공편자 (coeditor)
編物 - 편물 (knitting)
","一, ｜, 冂, 戸, 冊, 糸",3II,2
遍,편,두루,,"普遍的 - 보편적인 (universal)
","一, ｜, 冂, 込, 戸, 冊",,2
偏,편,치우칠,,"偏見 - 편견 (prejudice)
偏差 - 편차 (deviation)
偏頭痛 - 편두통 (migraine)
偏愛 - 편애 (partiality)
偏狹 - 편협 (narrowness)
偏光 - 편광 (polarization)
","一, ｜, 化, 冂, 戸, 冊",3II,2
平,평,평평할,,"平價 - 평가 (parity)
平和 - 평화 (peace)
平和的 - 평화적인 (peaceful)
平生 - 평생 (a lifetime)
平均 - 평균 (average)
平素 - 평소 (ordinary times, ordinarily)
","八, 干",7II,6
評,평,평할,,"評價 - 평가 (valuation)
再評價 - 재평가 (reappraisal)
評 - 평 (a criticism)
評判 - 평판 (reputation)
批評 - 비평 (review)
批評 - 비평하다 (review)
","一, ｜, 二, 八, 言",4,3
閉,폐,닫을,,"閉鎖 - 폐쇄 (closure)
自閉症 - 자폐증 (autism)
幽閉 - 유폐 (incarceration)
閉經期 - 폐경기 (menopause)
閉回路 - 폐회로 (closed circuit)
","一, ノ, 亅, 門",4,3
肺,폐,허파,,"肺炎 - 폐렴 (pneumonia)
肺結核 - 폐결핵 (pulmonary tuberculosis)
","亠, 巾, 月",3II,2
廢,폐,버릴/폐할,,"廢止 - 폐지 (abolition)
廢止 - 폐지하다 (revoke)
廢棄 - 폐기 (repeal)
廢棄 - 폐기하다 (scrap)
廢人 - 폐인 (cripple)
廢物 - 폐물 (scrap)
","广, 弓, 殳, 癶",3II,2
弊,폐,폐단/해질,,,"｜, 八, 冂, 尚, 巾, 廾, 攵",3II,2
蔽,폐,덮을,,"隱蔽 - 은폐 (concealment)
","｜, 八, 冂, 尚, 巾, 艾, 攵",3,2
幣,폐,화폐/비단,,"紙幣 - 지폐 (paper money)
造幣 - 조폐 (mintage)
","八, 冂, 巾, 攵",3,2
布,포,베,,"分布 - 분포 (distribution)
宣布 - 선포 (promulgation)
流布 - 유포 (circulation)
瀑布 - 폭포 (waterfall)
撒布 - 살포 (sprinkling)
布帳馬車 - 포장마차 (a wheeled snack bar on the street)
","一, ノ, 巾","Reading error 布, 1628","Writing error 布, 1628"
抱,포,안을,,"抱擁 - 포옹 (embrace)
抱擁 - 포옹하다 (embrace)
抱負 - 포부 (aspiration)
","勹, 已, 扎","Reading error 抱, 1629","Writing error 抱, 1629"
包,포,쌀,,"包含 - 포함 (inclusion)
包裝 - 포장 (packing, wrapping)
包圍 - 포위 (envelopment)
包括 - 포괄 (inclusion)
包括的 - 포괄적인 (comprehensive)
內包 - 내포 (connotation)
","勹, 已",4II,3II
胞,포,세포/여드름,,"細胞分裂 - 세포분열 (cell division)
同胞 - 동포 (fellowman)
僑胞 - 교포 (a Korean living abroad)
氣胞 - 기포 (vesicle)
","勹, 已, 月","Reading error 胞, 1631","Writing error 胞, 1631"
飽,포,배부를,,"飽滿 - 포만 (surfeit)
","勹, 已, 食",3,2
浦,포,물가,,"金浦空港 - 김포공항 (Gimpo airport)
","丶, 十, 汁, 用",3II,2
捕,포,잡을,,"逮捕 - 체포 (arrest)
逮捕 - 체포하다 (collar)
逮捕者 - 체포자 (captor)
捕虜 - 포로 (prisoner of war)
捕獲 - 포획 (capture)
捕獲 - 포획하다 (capture)
","丶, 十, 扎, 用",3II,2
暴,폭,사나울/쬘,,"暴力 - 폭력 (violence)
暴風 - 폭풍 (windstorm)
暴行 - 폭행 (assault)
暴露 - 폭로 (revelation)
暴動 - 폭동 (uprising)
亂暴者 - 난폭자 (goon)
","一, ｜, 二, 八, 日, 水, 井",4II,3II
爆,폭,터질,,"爆發 - 폭발 (explosion)
爆彈 - 폭탄 (bomb)
爆竹 - 폭죽 (firecracker)
爆藥 - 폭약 (explosive)
","一, ｜, 八, 日, 水, 火, 井",4,3
幅,폭,너비,,"幅 - 폭 (width; range)
幅- - 폭넓다 (to be wide-ranging, broad)
","一, 口, 巾, 田",3,2
表,표,겉,,"代表 - 대표 (representation)
代表 - 대표하는 (representative)
代表的 - 대표적인 (representative)
發表 - 발표 (publication)
表現 - 표현 (presentation)
表 - 표 (a marker, indication)
","士, 衣",6II,5II
票,표,표,,"票 - 표 (a marker, indication)
投票 - 투표 (poll)
投票 - 투표하다 (poll)
郵票 - 우표 (a postage stamp)
手票 - 수표 (a check)
投票者 - 투표자 (voter)
","示, 西",4II,3II
標,표,나타낼,,"目標 - 목표 (target)
標示 - 표시 (a sign, signal)
標示- - 표시하다 (sign, mark, indicate)
標準 - 표준 (standard)
指標 - 지표 (index)
座標 - 좌표 (coordinate)
","木, 示, 西",4,3
漂,표,떠다닐,,"漂流 - 표류 (drift)
漂流 - 표류하다 (float)
漂白 - 표백 (bleaching)
","汁, 示, 西",3,2
品,품,물건,,"作品 - 작품 (production)
製品 - 제품 (manufactured goods)
新製品 - 신제품 (new product)
賞品 - 상품 (trophy)
食品 - 식품 (groceries)
物品 - 물품 (article, goods)
","口, 品",5II,4II
風,풍,바람,,"颱風 - 태풍 (typhoon)
暴風 - 폭풍 (windstorm)
風景 - 풍경 (scenery)
風俗 - 풍속 (manners, customs, morals)
逍風 - 소풍 (picnic)
扇風機 - 선풍기 (a fan)
","ノ, 冂, 虫, 風",6II,5II
豐,풍,풍년,,,"八, 凵, 口, 山, 豆",,"Writing error 豐, 1644"
皮,피,가죽,,"皮膚 - 피부 (skin)
毛皮 - 모피 (fur)
皮質 - 피질 (cortex)
桂皮 - 계피 (cinnamon)
角皮 - 각피 (cuticle)
種皮 - 종피 (testa)
","又, 皮",3II,2
彼,피,저,,,"又, 彳, 皮",3II,2
疲,피,지칠,,"疲困 - 피곤 (fatigue, exhaustion)
疲困- - 피곤하다 (to be very tired, exhausted)
疲勞 - 피로 (fatigue)
","又, 疔, 皮",4,3
被,피,입을,,"被告 - 피고 (defendant)
被害 - 피해 (damage)
被害者 - 피해자 (victim)
被減數 - 피감수 (minuend)
被膜 - 피막 (tunic)
被子植物 - 피자식물 (angiosperm)
","又, 皮, 初",3II,2
避,피,피할,,"避- - 피하다 (to avoid, keep away)
待避 - 대피 (evacuation)
待避空間 - 대피공간 (evacuation space)
回避 - 회피 (evasion)
回避 - 회피하다 (avoid)
不可避- - 불가피하다 (inevitable, unavoidable )
","十, 込, 口, 尸, 立, 辛",4,3
必,필,반드시,,"必要 - 필요 (need, requirement,necessity)
必要- - 필요하다 (to need)
必要性 - 필요성 (necessity )
不必要- - 불필요하다 (to be unnecessary)
必須 - 필수 (necessary, indispensable)
必須的 - 필수적 (necessary, indispensable)
","ノ, 心",5II,4II
匹,필,짝,,"匹敵 - 필적자 (equal)
匹敵 - 필적하는 (equal)
匹敵 - 필적하다 (touch)
","儿, 匚",3,2
筆,필,붓,,"鉛筆 - 연필 (pencil)
筆記者 - 필기자 (scribe)
隨筆 - 수필 (essay)
筆者 - 필자 (writer)
萬年筆 - 만년필 (fountain pen)
筆名 - 필명 (pseudonym)
","竹, 聿",5II,4II
畢,필,마칠,,,"一, ｜, 田",3II,2
下,하,아래,,"下 - 하 (below, underneath)
以下 - 이하 (less than, below)
地下鐵 - 지하철 (subway)
降下 - 강하 (fall)
降下 - 강하하다 (fall)
引下 - 인하 (reduction, lowering)
","一, ｜, 卜",7II,
夏,하,여름,,,"一, 夂, 自",7,6
賀,하,하례,,"祝賀 - 축하 (congratulation)
慶賀 - 경하 (congratulation)
","力, 口, 貝",3II,2
何,하,어찌,,"何必 - 하필 (why necessarily? why of all things?)
何如- - 하여튼 (anyway, at any rate, in any case (interjection))
","亅, 化, 口",3II,2
河,하,물,,"銀河 - 은하 (galaxy)
河馬 - 하마 (hippopotamus)
河川 - 하천 (river)
氷河 - 빙하 (glacier)
運河 - 운하 (waterway)
","一, 亅, 口, 汁",5,4
荷,하,멜,,"電荷 - 전하 (charge)
荷重 - 하중 (load)
船荷 - 선하 (cargo)
出荷 - 출하 (shipping)
","一, 亅, 化, 口, 艾",3II,2
學,학,배울,,"學校 - 학교 (school)
大學 - 대학 (university)
學生 - 학생 (student)
科學 - 과학 (science)
科學的 - 과학적인 (scientific)
學校生活 - 학교생활 (student)
","冖, 子, 臼",8,6II
鶴,학,두루미,,,"宀, 杰, 隹, 鳥","Reading error 鶴, 1661","Writing error 鶴, 1661"
閑,한,한가할,,"閑暇- - 한가하다 (to be free, not busy)
閑散 - 한산 (dullness, inactivity, slackness)
","木, 門",4,3
寒,한,찰,,"寒氣 - 한기 (chill)
惡寒 - 오한 (chill)
寒波 - 한파 (cold wave)
","一, 丶, 八, 宀, 井",5,4
恨,한,한,,"恨 - 한 (a grudge, rancor)
怨恨 - 원한 (grudge)
遺恨 - 유한 (grudge)
悔恨 - 회한 (regret)
","忙, 艮","Reading error 恨, 1664","Writing error 恨, 1664"
限,한,한할,,"限 - 한 (a limit)
際限 - 제한 (limit)
最大限 - 최대한 (the most, the maximum, highest)
最大限度 - 최대한도 (maximum)
權限 - 권한 (authority)
限定 - 한정 (restriction)
","阡, 艮",4II,3II
韓,한,"한국/나라, 이름",,"韓國 - 한국 (Korea)
北韓 - 북한 (North Korea)
韓紙 - 한지 (hanji, traditional Korean paper handmade from mulberry trees)
韓國語 - 한국어 (Korean (language))
韓半島 - 한반도 (the Korean peninsula)
韓國的 - 한국적 (Korean)
","十, 口, 日, 韋",8,6II
漢,한,한수/한나라,,"漢江 - 한강 (Han river)
漢字 - 한자 (Chinese character)
惡漢 - 악한 (villain)
漢文 - 한문 (Chinese writing, Chinese classics)
漢拏山 - 한라산 (Halla mountain)
門外漢 - 문외한 (outsider)
","一, 口, 大, 汁, 艾",7II,6
旱,한,가물,,"旱魃 - 한발 (drought)
","干, 日","Reading error 旱, 1668","Writing error 旱, 1668"
汗,한,땀,,"發汗 - 발한 (sweating)
","干, 汁",3II,2
割,할,나눌,,"役割 - 역할 (role)
割引 - 할인 (reduction)
割引 - 할인하다 (discount)
分割 - 분할 (partition)
分割 - 분할자 (divider)
割當 - 할당 (assignment)
","亠, 刈, 口, 土, 宀","Reading error 割, 1670","Writing error 割, 1670"
咸,함,다,,,"ノ, 口, 戈",3,2
含,함,머금을,,"包含 - 포함 (inclusion)
含蓄 - 함축 (implication)
","个, 口",3II,2
陷,함,빠질,,"陷穽 - 함정 (pitfall)
陷落 - 함락 (fall)
陷沒 - 함몰 (subsidence)
","勹, 阡, 臼",3II,2
合,합,합할,"""홉 홉""으로도 읽는다.","綜合 - 종합 (synthesis)
統合 - 통합 (synthesis)
聯合 - 연합 (combination, federacy, union)
組合 - 조합 (association)
結合 - 결합 (combination)
結合 - 결합하다 (combine)
","个, 口",6,5
恒,항,항상,,"恒常 - 항상 (always)
恒星 - 항성 (fixed star)
","一, 忙, 日",3II,2
巷,항,거리,,,"八, 已, 井",3,2
港,항,항구,,"空港 - 공항 (airport)
仁川空港 - 인천공항 (Incheon International Airport)
金浦空港 - 김포공항 (Gimpo airport)
港口 - 항구 (a port, a harbor)
軍港 - 군항 (naval station)
","八, 已, 汁, 井","Reading error 港, 1677","Writing error 港, 1677"
項,항,항목,,"項目 - 항목 (item)
條項 - 조항 (article)
移項 - 이항 (transposition)
","工, 貝, 頁","Reading error 項, 1678","Writing error 項, 1678"
