Hanja,Pronunciation,Meaning_K,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level,Strokes,Meaning_E
奮,분,떨칠,,"興奮 - 흥분 (stimulation)
","大, 田, 隹",3II,2,16,"strive,  exert  effort;  arouse "
不,불,아닐,"""아닐 부""로도 읽는다.","不足 - 부족 (lack, want (scarcity, insufficiency))
","一, ｜, 丶, ノ",7II,6,4,"no,  not;  un- negative  prefix "
佛,불,부처,,"佛法 - 불법 (Buddhism)
","｜, ノ, 化, 弓",4II,3II,7,uddha;  of  uddhism;  merciful  percon;  uddhist  image;  the  dead  ap.
拂,불,떨칠,,"支拂- - 지불하다 (to pay)
","｜, ノ, 弓, 扎",3II,2,8,"shake  off,  brush  away;  dust "
朋,붕,벗,,,月,3,2,8,"friend,  pal,  acquaintance "
崩,붕,무너질,,,"山, 月",3,2,11,"rupture,  split  apart,  collapse "
比,비,견줄,,"比較 - 비교 (comparison)
",比,5,4,4,"to  compare,  liken;  comparison;  than "
非,비,아닐,,"非難 - 비난 (criticism)
",非,4II,3II,8,"not,  negative,  non- oppose "
悲,비,슬플,,"悲劇 - 비극 (tragedy)
","心, 非",4II,3II,12,"sorrow,  grief;  sorry,  sad "
飛,비,날,,"飛行 - 비행 (flying, aviation)
",飛,4II,3II,9,fly;  go  quickly;  dart;  high 
鼻,비,코,,"耳目口鼻 - 이목구비 (ears, eyes, mouth, and nose)
","廾, 田, 自",5,4,14,nose;  first;  angX i  radical 
備,비,갖출,,"準備 - 준비 (provision)
","化, 厂, 艾, 用",4II,3II,12,"prepare,  ready,  perfect "
批,비,비평할,,"批判 - 비판 (criticism)
","扎, 比",4,3,7,"comment,  criticize;  wholesale "
卑,비,낮을,,"卑怯 - 비겁 (cowardice)
","十, 田",3II,2,8,"humble,  low,  inferior;  despise "
婢,비,계집종,,,"十, 女, 田",3II,2,11,servant  girl;  your  servant 
碑,비,돌기둥,,"碑 - 비 (a monument)
","十, 口, 田, 石",4,3,13,stone  tablet;  gravestone 
妃,비,왕비,,"王妃 - 왕비 (queen)
","女, 已",3II,2,6,"wife,  spouse;  imperial  concubine "
肥,비,살찔,,"肥滿 - 비만 (obesity)
","月, 巴",3II,2,8,"fat,  plump,  obese;  fertile "
祕,비,숨길,,,"丶, ノ, 心, 礼",4,3,9,"mysterious,  secret,  abstruse "
費,비,쓸,,"費用 - 비용 (expense)
","｜, 弓, 貝",5,4,12,"expenses,  expenditures,  fee "
貧,빈,가난할,,"腦貧血 - 뇌빈혈 (cerebral anemia)
","八, 刀, 貝",4II,3II,11,"poor,  impoverished,  needy "
賓,빈,손,,,"ノ, 宀, 小, 貝",3,2,14,"guest,  visitor;  surname;  submit "
頻,빈,자주,,"頻發 - 빈발 (frequency)
","ノ, 小, 止, 貝, 頁",3,2,16,"frequently,  again  and  again "
氷,빙,얼음,,"氷河 - 빙하 (glacier)
","丶, 水",5,4,5,"ice,  frost,  icicles;  cold "
聘,빙,부를,,"招聘 - 초빙 (engagement)
","一, ｜, 勹, 日, 耳",3,2,13,"engage,  employ;  betroth "
四,사,넉,,"四 - 사 (four, the fourth)
","儿, 囗",8,6II,5,four 
巳,사,뱀,,,已,3,2,3,the  hours  from  to  th  terrestrial  branch 
士,사,선비,,"技士 - 기사 (technician)
",士,5II,4II,3,"scholar,  gentleman;  soldier "
仕,사,섬길,,"奉仕 - 봉사 (service)
","化, 士",5II,4II,5,official;  serve  government 
寺,사,절,,,"土, 寸",4II,3II,6,"court,  office;  temple,  monastery "
史,사,사기,,"歷史 - 역사 (history)
","ノ, 口",5II,4II,5,"history,  chronicle,  annals "
使,사,하여금/부릴,,"使用 - 사용 (use)
","一, ノ, 化, 口",6,5,8,"cause,  send  on  a  mission,  order;  envoy,  messenger,  ambassador "
舍,사,집,,"寄宿舍 - 기숙사 (a hostel; residence hall)
","个, 口, 舌",4II,3II,8,"house,  dwelling;  dwell,  reside "
射,사,쏠,,"發射 - 발사 (shooting)
","寸, 身",4,3,10,"shoot,  eject,  issue  forth,  emit "
謝,사,사례할,,"感謝 - 감사하다 (thank)
","寸, 言, 身",4II,3II,17,thank;  decline 
師,사,스승,,"技師 - 기사 (engineer)
","一, ｜, 口, 巾",4II,3II,10,"teacher,  master,  specialist;  multitude,  troops "
死,사,죽을,,"死亡 - 사망 (death)
","一, 匕, 夕, 歹",6,5,6,die;  dead;  death 
私,사,사사로울,,"私法 - 사법 (private law)
","厶, 禾",4,3,7,"private,  personal;  secret "
絲,사,실,,"菌絲 - 균사 (hypha)
",糸,4,3,12,silk;  fine  thread;  wire;  strings 
思,사,생각할,,"思考 - 사고 (thought, contemplation)
","心, 田",5,4,9,"think,  consider,  ponder;  final  particle "
事,사,일,,"事實 - 사실 (truth)
","一, 亅, 口, ヨ",7II,6,8,"affair,  matter,  business;  to  serve;  accident,  incident "
司,사,맡을,,"司會者 - 사회자 (chairperson, host, MC, emcee)
","一, 亅, 口",3II,2,5,"take  charge  of,  control,  manage;  officer "
詞,사,말씀,,"數詞 - 수사 (numeral)
","一, 亅, 口, 言",3II,2,12,"words;  phrase,  expression "
蛇,사,뱀,,"蛇紋石 - 사문석 (serpentine)
","匕, 宀, 虫",3II,2,11,snake 
捨,사,버릴,,,"个, 口, 土, 扎",3,2,11,"discard,  give  up  willingly;  give  alms "
邪,사,간사할,,,"邦, 牙",3II,2,6,"wrong,  evil,  depraved,  vicious,  perverse,  heterodox "
賜,사,줄,,"賜暇 - 사가 (furlough)
","日, 勿, 貝",3,2,15,"give,  bestow  favors;  appoint "
斜,사,비낄,,,"个, 斗, 禾",3II,2,11,"slanting,  sloping,  inclined "
詐,사,속일,,"詐欺 - 사기 (swindle)
","｜, ノ, 言",3,2,12,"cheat,  defraud,  swindle;  trick;  to  feign "
社,사,모일/토지신,,"社會 - 사회 (society)
","土, 礼",6II,5II,7,"god  of  the  soil  and  altars  to  him;  group  of  families;  company,  society "
沙,사,모래,,"沙果 - 사과 (an apple)
","ノ, 小, 汁",3II,2,7,"sand,  gravel,  pebbles;  granulated "
似,사,닮을,,"類似- - 유사하다 (to be similar, to resemble)
","丶, 人, 化",3,2,6,"resemble,  similar  to;  as  if,  seem "
査,사,조사할,,"監査 - 감사 (audit)
","一, 木, 目",5,4,9,"investigate,  examine,  seek  into "
寫,사,베낄,,"寫眞 - 사진 (picture)
","勹, 宀, 杰, 臼",5,4,15,"write;  draw,  sketch;  compose "
辭,사,말씀,,"辭典 - 사전 (dictionary)
","冂, 十, 又, 爪, 禹, 立, 辛",4,3,19,"words,  speech,  expression,  phrase "
斯,사,이,,,"八, 斤, 甘",3,2,12,"this,  thus,  such;  to  lop  off;  emphatic  particle "
祀,사,제사,,"祭祀 - 제사 (a holiday ceremony)
","已, 礼",3II,2,7,"to  sacrifice,  worship "
削,삭,깎을,,"削除 - 삭제 (deletion)
","刈, 尚, 月",3II,2,9,"scrape  off,  pare,  trim "
朔,삭,초하루,,,"八, 屮, 月",3,2,10,first  day  of  lunar  month;  the  north 
山,산,뫼,,"釜山 - 부산 (Busan)
",山,8,6II,3,"mountain,  hill,  peak "
產,산,낳을,,,,5II,4II,11,"give  birth,  bring  forth,  produce "
散,산,흩어질,,"散策 - 산책 (a walk, stroll)
","｜, 攵, 月",4,3,12,"scatter,  disperse,  break  up "
算,산,셀,,"計算 - 계산하다 (count)
","廾, 目, 竹",7,6,14,"count,  calculate,  figure;  plan "
殺,살,죽일,,"自殺 - 자살 (suicide)
","丶, ノ, 木, 殳",4II,3II,10,"kill,  slaughter,  murder;  hurt;  to  pare  off,  reduce,  clip "
三,삼,석,,"三 - 삼 (three)
","一, 二",8,6II,3,three 
上,상,위,,"以上 - 이상 (more than, above)
","一, 卜",7II,6,3,"top;  superior,  highest;  go  up,  send  up "
尙,상,오히려,,"慶尙道 - 경상도 (Kyungsan province)
",,3II,2,8,"still,  yet;  even;  fairly,  rather "
常,상,항상/떳떳할,,"異常 - 이상 (abnormality)
","冖, 口, 尚, 巾",4II,3II,11,"common,  normal,  frequent,  regular "
賞,상,상줄,,"賞 - 상 (a prize)
","冖, 口, 尚, 貝",5,4,15,"reward,  grant,  bestow;  appreciate "
商,상,장사,,"商品 - 상품 (merchandise)
","亠, 儿, 八, 冂, 口, 立",5II,4II,11,"commerce,  business,  trade "
相,상,서로,,"相對 - 상대 (counterpart, companion, rival)
","木, 目",5II,4II,9,"mutual,  reciprocal,  each  other "
霜,상,서리,,,"木, 目, 雨",3II,2,17,frost;  crystallized;  candied 
想,상,생각할,,"理想 - 이상 (ideal)
","心, 木, 目",4II,3II,13,"think,  speculate,  plan,  consider "
傷,상,상처,,"傷處 - 상처 (wound)
","ノ, 化, 日, 勿",4,3,13,"wound,  injury;  fall  ill  from "
喪,상,잃을,,"喪失 - 상실 (loss)
","一, ｜, 口, 衣",3II,2,12,mourning;  mourn;  funeral 
嘗,상,맛볼,,,"冖, 匕, 口, 尚, 日",3,2,14,"taste;  experience,  experiment "
裳,상,치마,,"衣裳 - 의상 (dress)
","冖, 口, 尚, 衣",3II,2,14,clothes;  skirt;  beautiful 
詳,상,자세할,,,"八, 王, 羊, 言",3II,2,13,"detailed,  complete,  thorough "
祥,상,상서로울,,,"八, 礼, 王, 羊",3,2,10,"good  luck,  good  omen;  happiness "
床,상,상,,"冊床 - 책상 (desk)
","广, 木",4II,3II,7,"bed,  couch;  framework,  chassis "
象,상,코끼리,,"印象 - 인상 (impression)
","一, 勹, 口, 豕",4,3,11,"elephant;  ivory;  figure,  image "
像,상,모양,,"像 - 상 (a statue, a figure)
","一, 化, 勹, 口, 豕",3II,2,13,"a  picture,  image,  figure;  to  resemble "
桑,상,뽕나무,,,"又, 木",3II,2,,mulberry  tree;  surname 
償,상,갚을,,"補償 - 보상 (compensation)
","化, 冖, 口, 尚, 貝",3II,2,17,"repay,  recompense;  restitution "
狀,상,형상,,"狀態 - 상태 (condition, state)
",,4II,3II,8,form;  appearance;  shape;  official 
雙,쌍,두,,"雙 - 쌍 (pair, couple)
","又, 隹",3II,2,18,"set  of  two,  pair,  couple;  both "
塞,새,변방,,"要塞 - 요새 (stronghold)
","一, 八, 土, 宀",3II,2,13,"stop  up,  block,  seal,  cork;  pass,  frontier;  fortress "
色,색,빛,,"色 - 색 (color)
","勹, 巴, 色",7,6,,"color,  tint,  hue,  shade;  form,  body;  beauty,  desire  for  beauty "
索,색,찾을,,"摸索- - 모색하다 (evening twilight)
","冖, 十, 糸",3II,2,10,"large  rope,  cable;  rules,  laws;  to  demand,  to  exact;  to  search,  inquire;  isolated "
生,생,날,,"生 - 생 (raw, uncooked; living)
",生,8,6II,5,"life,  living,  lifetime;  birth "
西,서,서녘,,"西洋 - 서양 (west)
",西,8,6II,6,"west( ern) westward,  occident "
序,서,차례,,"順序 - 순서 (sequence)
","亅, 子, 广",5,4,7,"series,  serial  order,  sequence "
書,서,쓸,,"文書 - 문서 (writing)
","日, 聿",6II,5II,10,"book,  letter,  document;  writings "
暑,서,더울,,"避暑 - 피서 (reatreat (the act of going away to get away))
","老, 日",3,2,12,hot 
敍,서,펼,,"敍述 - 서술 (description)
","个, 小, 干, 攵",3,2,11,"express,  state,  relate,  narrate "
徐,서,천천히,,"徐徐- - 서서히 (slowly, little by little)
","个, 彳, 禾",3II,2,10,"slowly,  quietly,  calmly;  composed,  dignified "
庶,서,여러,,"庶民 - 서민 (common people)
","广, 杰",3,2,11,"numerous,  various;  multitude "
恕,서,용서할,,"容恕 - 용서 (pardon, forgiveness)
","口, 女, 心",3II,2,10,"forgive,  excuse,  show  mercy "
緖,서,실마리,,,,3II,2,15,"end  of  thread;  thread,  clue "
署,서,마을,,"署名 - 서명 (signature)
","老, 日, 買",3II,2,13,public  office 
誓,서,맹세할,,,"扎, 斤, 言",3,2,14,"swear,  pledge;  oath "
逝,서,갈,,,"込, 扎, 斤",3,2,10,pass  away;  die 
石,석,돌,,"石油 - 석유 (petroleum)
","口, 石",6,5,5,"stone,  rock,  mineral;  rad. "
夕,석,저녁,,"秋夕 - 추석 (Korean Thanksgiving)
",夕,7,6,3,"evening,  night,  dusk;  slanted "
昔,석,옛,,,"一, ｜, 二, 日",3,2,8,formerly;  ancient;  in  beginning 
惜,석,아낄,,,"一, ｜, 二, 忙, 日",3II,2,11,"pity,  regret,  rue,  begrudge "
席,석,자리,,"席 - 석 (a seat,sitting place)
","巾, 广",6,5,10,seat;  mat;  take  seat;  banquet 
析,석,쪼갤,,"分析 - 분석 (analysis)
","斤, 木",3,2,8,split  wood;  break  apart;  divide 
釋,석,풀,,"解釋 - 해석 (interpretation)
","亠, 十, 立, 買, 米, 辛, 釆",3II,2,20,"interprete,  elucidate;  release "
先,선,먼저,,"先生 - 선생 (teacher)
","ノ, 儿, 土",8,6II,6,"first,  former,  previous "
仙,선,신선,,"仙女 - 선녀 (fairy)
","化, 山",5II,4II,5,"aoist  super- being,  transcendent,  immortal "
線,선,줄,,"線 - 선 (a line, a route)
","水, 白, 糸",6II,5II,15,"thread,  line,  wire;  clue "
鮮,선,고울,,"朝鮮 - 조선 (the Joseon Dynasty)
","八, 杰, 王, 田, 羊, 魚",5II,4II,17,"fresh,  new,  delicious;  rare,  few "
善,선,착할,,"最善 - 최선 (the best, one's best)
","八, 口, 王, 羊",5,4,12,"good,  virtuous,  charitable,  kind "
船,선,배,,"造船 - 조선 (shipbuilding)
","八, 口, 舟",5,4,11,"ship,  boat,  vessel "
選,선,가릴,,"選擇 - 선택 (a choice)
","｜, 二, 八, 込, 已",5,4,15,"choose,  select;  elect;  election "
宣,선,베풀,,"宣言 - 선언 (proclamation)
","一, 宀, 日",4,3,9,"declare,  announce,  proclaim "
旋,선,돌,,"螺旋 - 나선 (helix)
","方, 疋",3II,2,11,"revolve,  move  in  orbit;  return "
禪,선,선,,,"一, ｜, 口, 日, 礼, 田",3II,2,16,"meditation,  contemplation  dhyana) to  level  ground  for  altar;  abdicate "
雪,설,눈,,"雪糖 - 설탕 (sugar)
","ヨ, 雨",6II,5II,11,"snow;  wipe  away  shame,  avenge "
說,설,말씀,,"說明 - 설명 (explanation)
",,5II,4II,14,"speak,  say,  talk;  scold,  upbraid "
設,설,베풀,,"設置 - 설치 (establisment, institution)
","殳, 言",4II,3II,11,"build;  establish;  display;  particle  of  hypothesis,  supposing "
舌,설,혀,,"龍舌蘭 - 용설란 (century plant)
","口, 舌",4,3,6,tongue;  clapper  of  bell;  angX i  radical 
涉,섭,건널,,"干涉 - 간섭 (interfere, meddle, butt in on, intrude)
",,3,2,10,"ford  stream,  wade  across "
攝,섭,다스릴/잡을,,"攝氏 - 섭씨 (Celsius)
","扎, 耳",3,2,21,"take  in,  absorb;  act  as  deputy;  administer,  assist "
姓,성,성,,"姓 - 성 (family name, surname, last name)
","女, 生",7II,6,8,"one' s  family  name;  clan,  people "
性,성,성품,,"性 - 성 (sex (male or female), gender)
","忙, 生",5II,4II,8,"nature,  character,  sex "
成,성,이룰,,"集成 - 집성 (aggregation)
","ノ, 戈",6II,5II,6,"completed,  finished,  fixed "
城,성,재,,"城 - 성 (castle, fortress)
","ノ, 土, 戈",4II,3II,9,"castle;  city,  town;  municipality "
誠,성,정성,,"忠誠 - 충성 (loyalty)
","ノ, 戈, 言",4II,3II,13,"sincere,  honest;  true,  real "
盛,성,성할,,"盛大 - 성대 (magnificent)
","ノ, 戈, 皿",4II,3II,11,"abundant,  flourishing;  contain;  fill "
省,성,살필,"""덜 생""으로도 읽는다.","反省 - 반성 (reflection)
","ノ, 小, 目",6II,5II,9,"province;  save,  economize "
星,성,별,,"火星 - 화성 (Mars)
","日, 生",4II,3II,9,"a  star,  planet;  any  point  of  light "
聖,성,거룩할,,"聖人 - 성인 (saint)
","口, 王, 耳",4II,3II,13,"holy,  sacred;  sage "
聲,성,소리,,"音聲 - 음성 (voice)
","士, 尸, 殳, 耳",4II,3II,17,"sound,  voice,  noise;  tone;  music "
世,세,대/인간,,"世 - 세 (a generation,age,epoch)
","一, ｜, 世",7II,6,5,generation;  world;  era 
洗,세,씻을,,"洗禮 - 세례 (baptism)
","ノ, 儿, 土, 汁",5II,4II,9,"wash,  rinse;  clean,  purify "
稅,세,세금,,"稅金 - 세금 (tax)
",,4II,3II,12,"taxes,  revenue,  duty;  tax "
細,세,가늘,,"仔細- - 자세하다 (be detailed)
","田, 糸",4II,3II,11,"fine,  tiny;  slender,  thin "
勢,세,형세,,"姿勢 - 자세 (posture)
","丶, 儿, 力, 九, 土",4II,3II,13,"power,  force;  tendency "
歲,세,해,,"歲 - 세 (age in years)
",,5II,4II,13,year;  age;  harvest 
小,소,작을,,"小說 - 소설 (a novel, fiction story)
",小,8,6II,3,"small,  tiny,  insignificant "
少,소,적을,,"少女 - 소녀 (a young girl)
","ノ, 小",7,6,4,"few,  less,  inadequate "
所,소,바,,"住所 - 주소 (residence)
","戸, 斤",7,6,8,"place,  location;  numerary  adjunct "
消,소,사라질,,"消息 - 소식 (news)
","尚, 汁, 月",6II,5II,10,"vanish,  die  out;  melt  away "
素,소,본디,,"素材 - 소재 (raw material)
","亠, 土, 糸",4II,3II,10,white  silk) plain;  vegetarian;  formerly;  normally 
笑,소,웃을,,"微笑 - 미소 (smile)
","大, 禾, 竹",4II,3II,10,"smile,  laugh,  giggle;  snicker "
召,소,부를,,"召還 - 소환 (recall)
","刀, 口",3,2,5,imperial  decree;  summon 
昭,소,밝을,,,"刀, 口, 日",3,2,9,"bright,  luminous;  illustrious "
蘇,소,깨어날,,"蘇生 - 소생 (resuscitation)
","艾, 杰, 田, 禾, 魚",3II,2,19,"revive,  resurrect;  a  species  of  thyme;  transliteration  of  oviet' "
騷,소,떠들,,"騷擾 - 소요 (riot)
","丶, 又, 虫, 馬",3,2,19,"harass,  bother,  annoy,  disturb,  agitate;  sad,  grieved "
燒,소,불사를,,"燒酒 - 소주 (Korean alchohol)
","儿, 土, 火",3II,2,16,burn;  bake;  heat;  roast 
訴,소,호소할,,"起訴 - 기소 (prosecution)
","丶, 斤, 言",3II,2,12,accuse;  sue;  inform;  narrate 
掃,소,쓸,,"淸掃 - 청소 (cleaning)
","冖, 巾, ヨ, 扎",4II,3II,11,"sweep,  clear  away;  exterminate "
疏,소,트일,,"疏通 - 소통 (communication)
","亠, 厶, マ, 川, 止, 疋",3II,2,12,"neglect;  careless,  lax "
蔬,소,푸성귀,,"菜蔬 - 채소 (vegetables)
","亠, 厶, 川, 艾, 止, 疋",3,2,15,"vegetables,  greens "
俗,속,풍속,,"風俗 - 풍속 (manners, customs, morals)
","化, 个, 八, 口, 谷",4II,3II,9,"social  customs;  vulgar,  unrefined "
速,속,빠를,,"速度 - 속도 (velocity)
","一, ｜, 八, 込, 口, 木",6,5,10,"quick,  prompt,  speedy "
續,속,이을,,"繼續 - 계속 (continuation)
","儿, 囗, 士, 糸, 貝",4II,3II,21,"continue,  carry  on;  succeed "
束,속,묶을,,"約束 - 약속하다 (promise)
","一, ｜, 八, 口, 木",5II,4II,7,"bind,  control,  restrain;  bale "
粟,속,조,,,"米, 西",3,2,12,unhusked  millet;  grain 
屬,속,무리,,"屬- - 속하다 (belong to, be affiliated with)
","勹, 尸, 買, 虫",4,3,21,"class,  category,  type;  to  belong  to "
孫,손,손자,,"孫子 - 손자 (grandson)
","ノ, 子, 糸",6,5,10,"grandchild,  descendent;  surname "
損,손,덜다덜,,"損傷 - 손상 (damage)
","口, 扎, 貝",4,3,13,diminish;  impair;  injure 
松,송,소나무,,"松- - 송편 (rice cake steemed over pine needles)
","八, 厶, 木",4,3,8,pine  tree;  fir  tree 
送,송,보낼,,"放送 - 방송 (broadcasting)
","一, 八, 込, 大",4II,3II,,"see  off,  send  off;  dispatch,  give "
訟,송,송사할,,,"八, 厶, 言",3II,2,11,"accuse;  argue,  dispute;  litigate "
頌,송,칭송할,,"頌歌 - 송가 (carol)
","八, 厶, 貝, 頁",4,3,13,"laud,  acclaim;  hymn;  ode "
誦,송,외울,,"朗誦 - 낭송 (recitation)
","用, 言",3,2,14,"recite,  chant,  repeat "
刷,쇄,인쇄할,,"印刷 - 인쇄 (printing)
","刈, 尸, 巾",3II,2,8,"brush;  clean  with  brush,  scrub "
鎖,쇄,쇠사슬,,"閉鎖 - 폐쇄 (closure)
","尚, 貝, 金",3II,2,18,"lock,  padlock;  shackles,  chains "
衰,쇠,쇠할,,"衰弱 - 쇠약 (debility)
","一, 亠, 衣",3II,2,,"decline,  falter,  decrease;  weaken "
水,수,물,,"水準 - 수준 (level)
",水,8,6II,4,"water,  liquid,  lot5 on,  juice "
手,수,손,,"選手 - 선수 (an athlete)
",手,7II,6,4,hand 
受,수,받을,,"受精 - 수정 (impregnation)
","冖, 又, 爪",4II,3II,8,"receive,  accept,  get;  bear,  stand "
授,수,줄,,"敎授 - 교수 (teaching;  instruction)
","冖, 又, 扎, 爪",4II,3II,11,"give  to,  transmit;  confer "
首,수,머리,,"首相 - 수상 (head of sth; the Prime Minister)
","八, 目, 自, 首",5II,4II,9,"head;  first;  leader,  chief;  a  poem "
守,수,지킬,,"保守 - 보수 (conservatism)
","宀, 寸",4II,3II,6,"defend,  protect,  guard,  conserve "
收,수,거둘,,"收入 - 수입 (income)
","｜, 攵",4II,3II,6,"gather  together,  collect;  harvest "
誰,수,누구,,,"言, 隹",3,2,15,who?  whom?  whose?  anyone? 
須,수,모름지기,,"必須 - 필수 (necessary, indispensable)
","彡, 貝, 頁",3,2,12,"must,  have  to,  necessary;  moment;  whiskers "
雖,수,비록,,,"口, 虫, 隹",3,2,17,"although,  even  if "
愁,수,시름,,,"心, 火, 禾",3II,2,13,"anxiety;  to  worry  about,  be  anxious "
樹,수,나무,,"樹立 - 수립하다 (ground)
","八, 口, 土, 寸, 木, 豆",6,5,16,"tree;  plant;  set  up,  establish "
壽,수,목숨,,"長壽 - 장수 (longevity)
","一, 口, 士, 寸, 工",3II,2,14,"old  age,  long  life;  lifespan "
數,수,셀,,"數 - 수 (the number of sth)
","一, ｜, 口, 女, 攵",7,6,15,number;  several;  count;  fate 
修,수,닦을,,"修整 - 수정 (adjustment)
","｜, 化, 彡, 攵",4II,3II,9,study;  repair;  cultivate 
秀,수,빼어날,,"優秀 - 우수 (excellence)
","乃, 禾",4,3,7,"ear  of  grain;  flowering,  luxuriant;  refined,  elegant,  graceful "
囚,수,가둘,,,"人, 囗",3,2,5,"prisoner,  convict;  confine "
需,수,쓰일,,"需要 - 수요 (request)
","而, 雨",3II,2,14,"need,  require,  must "
帥,수,장수,,,"｜, 口, 巾",3II,2,9,"commander,  commander- in- chief "
